X_id,objectid,project_name,address,status,description,image,project_url,project_type,image_alt_text,takedown_date,ward_name,ward_number,globalid,geometry
97,164,New Park at 965 Ellesmere Road,965 Ellesmere Road ,Complete,A new park is coming to 965 Ellesmere Road. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/06/8e68-new-park-965-ellesmere-rd-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-965-ellesmere-road/,New Park,"A photograph of the location for the new park with residential townhouses in the background. The photograph illustrates a flat open area with grass and two small trees. The park is located on the south side of Kennedy Road, which is shown by an elevated bridge in the background.",NA,Scarborough Centre,21,c1981bbb-1110-4836-9597-fc17d85791ba,"{'type': 'MultiPoint', 'coordinates': [[-79.2783273902266, 43.7658306799085]]}"
98,165,Willowdale Park Playground Improvements,75 Hollywood Avenue ,In progress,The City is improving the playground at Willowdale Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/04/94ee-willowdale-park-playground-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/willowdale-park-playground-improvements/,Playground Improvements,A photograph of the playground taken in March 2021 which shows the medium playground structure surrounded by mature trees and sparse patches of grass.,NA,Willowdale,18,41eeee09-80a4-403c-a285-7e7fb3ca7caa,"{'type': 'MultiPoint', 'coordinates': [[-79.4076820303657, 43.7664110604046]]}"
99,167,Elkhorn Parkette Playground Improvements,2 Elkhorn Drive,Complete,The City is improving the playground at Elkhorn Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2024/01/8ebf-elkhorn-parkette-playground-improvements-banner-after.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/elkhorn-parkette-playground-improvements/,Playground Improvements,"A photograph of Elkhorn Parkette Playground, with a focus on the swing set in the foreground. In the distance, is a small yellow slide and small blue climbing structure. Elkhorn Public School is shown in the distance, adjacent to the playground.",NA,Don Valley North,17,038342ea-99e4-4562-abc6-784941be274c,"{'type': 'MultiPoint', 'coordinates': [[-79.3792265697428, 43.7710800896549]]}"
100,168,Herbert H. Carnegie Centennial Centre Improvements,580 Finch Avenue West ,Complete,The City is improving Herbert H. Carnegie Centennial Centre. Learn more about the project.,https://www.toronto.ca/wp-content/uploads/2021/02/9317-herbert-h-carnegie-centennial-centre-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/herbert-h-carnegie-centennial-centre-improvements/,Park or Facility Improvements,The exterior of Herbert H. Carnegie Centennial Centre,NA,York Centre,6,692561d9-d312-475c-8965-d881d1b22fa4,"{'type': 'MultiPoint', 'coordinates': [[-79.4500552601663, 43.7733652900179]]}"
101,169,New Park on Brimorton Drive,,In progress,A new park is coming to Brimorton Drive. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-on-brimorton-drive/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Scarborough-Guildwood,24,ffb48288-2c82-439e-a533-a5657690ea85,"{'type': 'MultiPoint', 'coordinates': [[-79.2293400304602, 43.774076160316]]}"
102,171,Wanita Park Playground Improvements,5 Meadowvale Road,Complete,The City is improving the playground at Wanita Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/05/9853-wanita-park-playground-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/wanita-park-playground-improvements/,Playground Improvements,"Wanita Park Playground with three slides, climbing equipment and swings on mulch surfacing.",NA,Scarborough-Rouge Park,25,5604036f-833f-461e-bd98-1629cd201840,"{'type': 'MultiPoint', 'coordinates': [[-79.1563511996891, 43.7758474002527]]}"
103,173,New Park at 25 Holmes Avenue,25 Holmes Avenue ,In progress,A new park is coming to 25 Holmes Avenue. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-25-holmes-avenue/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Willowdale,18,7f6ab777-0b5c-431e-8fbe-22f21a262085,"{'type': 'MultiPoint', 'coordinates': [[-79.4133539506188, 43.777923279637]]}"
104,177,Upper Highland Creek Trail Connection and Access Improvements,,In progress,The City is improving Upper Highland Creek Trail. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2019/12/959a-upper-highland-creek-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/upper-highland-creek-access-improvements-connecting-gatineau-trail-with-morningside-park/,Park or Facility Improvements,A creek runs through a wooded area,NA,Scarborough-Guildwood,24,08d68cc4-65bc-4b97-8bed-259f04902683,"{'type': 'MultiPoint', 'coordinates': [[-79.2101206399697, 43.7803874001042]]}"
105,178,Clydesdale Park Playground Improvements,116 Clydesdale Road ,Complete,The City is improving the playground at Clydesdale Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/07/8e49-clydesdale-park-playground-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/clydesdale-park-playground-improvements/,Playground Improvements,"Clydesdale Park Playground looking east from the west end of the park. There are a couple straight slides, a spiral slide, and climbing equipment. The surfacing is mulch.",NA,Don Valley North,17,d8f44890-d0a5-4a49-a77a-2f29729f76af,"{'type': 'MultiPoint', 'coordinates': [[-79.3289044801649, 43.7829097896051]]}"
106,179,Bellbury Park Playground Enhancements ,55 Van Horne Avenue ,Complete,The City is improving the playground at Bellbury Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/03/9548-bellbury-park-playground-enhancements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/bellbury-park-playground-enhancements/,Playground Improvements,Bellbury Park Playground looking west from the east end of the park. Two slides and some climbing equipment is visible. The surfacing is mulch.,NA,Don Valley North,17,fa336822-645e-4e37-9421-4b49f478ad92,"{'type': 'MultiPoint', 'coordinates': [[-79.3609390904936, 43.7844820699473]]}"
107,180,Leslie Park Playground Improvements,5200 Leslie Street ,Complete,The City is improving the playground at Leslie Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/04/977b-leslie-park-playground-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/leslie-park-playground-improvements/,Playground Improvements,"A photograph of Leslie Park Playground, with a small swing set in the foreground and junior and senior play structure in the background, shown in blue. A winding pathway is located along the edge of the playground and connects to the basketball court.",NA,Don Valley North,17,89628c51-27cf-4683-bb47-0849954ddc66,"{'type': 'MultiPoint', 'coordinates': [[-79.3675882003823, 43.784796810218]]}"
108,181,New Park on Olympic Garden Drive ,5799-5915 Yonge Street ,In progress,A new park is coming to Olympic Garden Drive. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/10/90df-OlympicGardendrive-Park-Wave-1024x338.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-on-olympic-garden-drive/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Willowdale,18,39eb596b-e4f9-4a93-ae88-856fb49872a2,"{'type': 'MultiPoint', 'coordinates': [[-79.4154240702276, 43.7861020198017]]}"
